tick_n,ts_brt,commit_bytes,rss_bytes,pagefile_alloc_bytes,available_bytes
1,2026-04-24T08:50:58,405504,2183168,2230054912,9468235776
2,2026-04-24T08:51:28,819200,3969024,2389372928,6959460352
