timestamp,elapsed_s,pid,rss_bytes,rss_gb,commit_bytes,commit_gb
2026-04-22T22:33:39,0,18964,11689984,0.011,252571648,0.235
2026-04-22T22:34:40,60,18964,5442084864,5.068,5745000448,5.350
