tick_n,ts_brt,commit_bytes,rss_bytes,pagefile_alloc_bytes,available_bytes
1,2026-04-25T11:28:25,405504,1646592,1796354048,11973234688
2,2026-04-25T11:28:55,819200,3428352,1781989376,9303400448
3,2026-04-25T11:29:25,819200,3428352,1779269632,6138150912
4,2026-04-25T11:29:55,819200,3428352,1776590848,3146821632
5,2026-04-25T11:30:25,819200,3428352,2284240896,1784422400
6,2026-04-25T11:30:55,819200,3428352,2211360768,1407082496
